latitude,longitude
42.92684096,-78.80605623
42.89998696,-78.86451768
42.90395213,-78.86900081
42.9063896,-78.86066489
42.90977996,-78.80300857
42.9475164,-78.88389479
42.94850091,-78.87015685
42.91578751,-78.80918419
42.91697701,-78.89332899
42.88797361,-78.87356789
42.85860865,-78.83455071
42.91012155,-78.83218169
42.8921752,-78.8376224
42.90687532,-78.80098264
42.9391768,-78.8315588
42.95424285,-78.83689795
42.93011191,-78.80308081
42.90460292,-78.86196325
42.83898749,-78.81688872
42.92673885,-78.88637008
42.91992297,-78.80201069
42.94913294,-78.79989887
42.89451876,-78.80571597
42.94143011,-78.90485983
42.92773947,-78.8133978
42.84832947,-78.82400917
42.89525297,-78.89147786
42.91751683,-78.84275785
42.89066911,-78.88171548
42.93686546,-78.84082247
42.91315535,-78.89705452
42.87394263,-78.86648856
42.88708621,-78.80397282
42.90232346,-78.83933503
42.9545413,-78.83830715
42.9144261,-78.8383772
42.8903347,-78.81249247
42.91935654,-78.85404032
42.84470746,-78.82403239
42.95657113,-78.873255
42.95441641,-78.89946796
42.83507367,-78.8252999
42.92537687,-78.81105415
42.92501078,-78.80179321
42.88975672,-78.8512241
42.92854922,-78.81629332
42.89858847,-78.84081243
42.84949936,-78.82871244
42.92800685,-78.87353173
42.89826335,-78.80050674
42.89920248,-78.82342318
42.91094703,-78.80958254
42.89100469,-78.8783939
42.91727909,-78.81274162
42.9092463,-78.88750143
42.95682617,-78.86185056
42.91333729,-78.85830692
42.93812732,-78.82846654
42.92403704,-78.87004081
42.8899,-78.87702
42.95699426,-78.87945815
42.83970852,-78.81312558
42.87337312,-78.86376262
42.84437631,-78.82492603
42.93611345,-78.87284461
42.94716629,-78.81033297
42.93192086,-78.89157753
42.89567197,-78.87981115
42.83619787,-78.82567712
42.93569309,-78.90314386
42.88677815,-78.80718072
42.913846,-78.80099807
42.95840937,-78.8839478
42.90514545,-78.88604034
42.89476679,-78.85598527
42.8646036,-78.86064194
42.87710577,-78.82740408
42.90439635,-78.860068
42.88580799,-78.8121399
42.92218336,-78.82944871
42.9475859,-78.8299239
42.90857306,-78.87635207
42.95575272,-78.84867117
42.9201427,-78.8904445
42.93906405,-78.83926312
42.91155113,-78.88906287
42.90271282,-78.81417617
42.91518155,-78.88847865
42.94581335,-78.81370659
42.93962188,-78.89128821
42.91516305,-78.80033984
42.89709381,-78.8234155
42.915617,-78.86858318
42.89348574,-78.87310196
42.85111584,-78.80287513
42.91061606,-78.89267444
42.89973354,-78.8884771
42.9475798,-78.82989885
42.95198248,-78.86482897
42.90026771,-78.86205288
42.90238209,-78.88844328
42.87961732,-78.86856653
42.89066528,-78.88169805
42.89164229,-78.87675702
42.90742086,-78.86533532
42.94066522,-78.81869661
42.89324218,-78.88407891
42.86554145,-78.80665636
42.91584871,-78.88985204
42.94713111,-78.89297566
42.91054737,-78.84276594
42.9308014,-78.89003206
42.85665209,-78.81042024
42.88837365,-78.86722622
42.88088694,-78.85420787
42.90336166,-78.80821162
42.87076315,-78.8162624
42.92054539,-78.81219372
42.86672308,-78.86064749
42.9296989,-78.80382614
42.90720444,-78.80105845
42.93048533,-78.80941057
42.95985843,-78.90014009
42.91409959,-78.8825751
42.86735571,-78.82289137
42.93758803,-78.81057632
42.89375134,-78.81899849
42.90909687,-78.87538403
42.86964591,-78.84842472
42.89088077,-78.81383789
42.93946147,-78.83325209
42.92113803,-78.86462078
42.88612734,-78.87665626
42.93174793,-78.83880214
42.90989459,-78.81446864
42.9513045,-78.82626362
42.9196509,-78.85468057
42.93423868,-78.81149757
42.89316685,-78.89176601
42.91815369,-78.80661244
42.92423849,-78.8876646
42.86253962,-78.81070415
42.91958736,-78.88256432
42.91726688,-78.81207052
42.90609604,-78.82494592
42.87818767,-78.85463283
42.90177256,-78.89479671
42.87810093,-78.88103695
42.90333271,-78.86524203
42.89947987,-78.88060099
42.92602768,-78.8017909
42.92988459,-78.80711272
42.92470096,-78.86787835
42.90944167,-78.88001429
42.89129813,-78.84564573
42.93304268,-78.83240461
42.95400379,-78.83331093
42.8974695,-78.8381207
42.9066517,-78.87660425
42.91164822,-78.86460801
42.92747515,-78.82746692
42.88021926,-78.85804788
42.93768637,-78.9040816
42.94442491,-78.80821114
42.87173667,-78.84279852
42.91885505,-78.87826293
42.91344936,-78.80682926
42.88693565,-78.81080076
42.93363481,-78.81160737
42.88599667,-78.85161828
42.90031371,-78.86727292
42.89811034,-78.86887568
42.91670182,-78.86261506
42.9223444,-78.8270876
42.89037372,-78.88198644
42.9180766,-78.81184859
42.90943477,-78.86693619
42.94706602,-78.81838006
42.89181241,-78.81447575
42.89297774,-78.83928188
42.91360979,-78.86487029
42.89100698,-78.87839594
42.94921295,-78.88565857
42.89043871,-78.87529599
42.87210207,-78.80526242
42.92514991,-78.82796703
42.91150868,-78.87647796
42.90840772,-78.81756768
42.92157472,-78.79994104
42.9144772,-78.81429912
42.9098016,-78.809531
42.92393994,-78.81608927
42.93920406,-78.87900627
42.85678857,-78.83314222
42.92191105,-78.82847691
42.87373893,-78.87115089
42.84669603,-78.83082687
42.94521982,-78.80862488
42.90462871,-78.89017897
42.92138654,-78.80301246
42.93906405,-78.83926312
42.90033369,-78.86855004
42.89365015,-78.8218149
42.9227167,-78.8087153
42.94688808,-78.90312711
42.93560856,-78.80110509
42.89670245,-78.86118128
42.90811849,-78.81076665
42.84845497,-78.81688341
42.94062718,-78.8207782
42.90959476,-78.82132587
42.94171697,-78.88763864
42.89316685,-78.89176601
42.95708264,-78.89776321
42.84958582,-78.82677362
42.93028426,-78.81312594
42.86571398,-78.86525731
42.86007107,-78.8250991
42.87134141,-78.81525735
42.89418771,-78.83360379
42.89664788,-78.81362352
42.93252571,-78.80350014
42.85617089,-78.82784176
42.92812864,-78.80924768
42.88369744,-78.85472418
42.88695488,-78.87494373
42.84357021,-78.8246619
42.8912853,-78.87686728
42.85450265,-78.8242942
42.91675077,-78.85365559
42.91362314,-78.8648783
42.92328261,-78.8754137
42.9000012,-78.83480947
42.90212913,-78.84543374
42.89462436,-78.82142753
42.91933563,-78.81342125
42.94307996,-78.82198764
42.91410491,-78.84692455
42.93990938,-78.82914584
42.89586197,-78.832964
42.92747498,-78.82802829
42.91481626,-78.89929181
42.93069835,-78.8252258
42.91517901,-78.89952864
42.94863301,-78.83000228
42.94291668,-78.80775748
42.91197809,-78.87532298
42.89666415,-78.84240918
42.95740875,-78.86442573
42.93739944,-78.82233915
42.93127443,-78.81193472
42.9378647,-78.80941965
42.89858847,-78.84081243
42.95242892,-78.90375345
42.92128932,-78.82406894
42.94628301,-78.89367446
42.89639227,-78.86153807
42.9471465,-78.81927677
42.86992528,-78.8099176
42.93628097,-78.81919794
42.91243253,-78.87782971
42.95138752,-78.82500798
42.92158403,-78.82743024
42.91403471,-78.81601466
42.90753575,-78.83794524
42.84509465,-78.82257963
42.92969976,-78.80337806
42.84832947,-78.82400917
42.87942378,-78.87994505
42.8807675,-78.85827418
42.94176695,-78.86821836
42.91560792,-78.87220428
42.92001051,-78.83515749
42.95471395,-78.84698573
42.91792052,-78.86911647
42.86562162,-78.84641977
42.94640735,-78.80786808
42.87037174,-78.85677317
42.94631894,-78.82140256
42.941132,-78.82190543
42.94564387,-78.81825274
42.88935294,-78.8813733
42.85321542,-78.80967004
42.90505528,-78.87853758
42.89681443,-78.84867957
42.89348998,-78.87310862
42.90226913,-78.85109165
42.92694369,-78.8918598
42.90422114,-78.86099109
42.8698448,-78.80898471
42.89208513,-78.81529774
42.91913288,-78.88842348
42.90909687,-78.87538403
42.88209594,-78.8717902
42.83275412,-78.80545712
42.93862458,-78.90472753
42.9265521,-78.88435291
42.91936291,-78.79942124
42.92683814,-78.84619473
42.91814179,-78.80662222
42.937342,-78.799025
42.92181113,-78.84433815
