latitude,longitude
42.852129,-78.807657
42.91810307,-78.82566185
42.94381932,-78.82270012
42.94042909,-78.90701504
42.92571681,-78.88622731
42.91652784,-78.80407783
42.90876761,-78.88594608
42.90789332,-78.83943274
42.88579289,-78.8786696
42.89641027,-78.82027748
42.93504716,-78.81874512
42.85470249,-78.83346946
42.89363232,-78.83620168
42.9207619,-78.8136879
42.89720638,-78.82500509
42.94322156,-78.80618997
42.92741107,-78.82267392
42.8883564,-78.83557084
42.90019162,-78.88123889
42.89587682,-78.82605996
42.89415798,-78.82138841
42.91768409,-78.82913214
42.91424796,-78.82433381
42.95691385,-78.8891704
42.88510895,-78.85571886
42.94821816,-78.89842776
42.88645,-78.87837
42.9451065,-78.86027838
42.90534962,-78.84793235
42.90886214,-78.8944235
42.93536574,-78.83926684
42.91760041,-78.80077322
42.91477997,-78.88470625
42.90417114,-78.84733011
42.91003631,-78.82198922
42.90905871,-78.88997887
42.90888416,-78.81654567
42.93364592,-78.83976062
42.90089666,-78.83932913
42.92248451,-78.80279235
42.93209085,-78.84095194
42.92203665,-78.89019256
42.90361197,-78.83332845
42.89298797,-78.8539996
42.89904057,-78.84712162
42.92240783,-78.8631262
42.90619915,-78.82352498
42.92438753,-78.81183458
42.9218167,-78.8442586
42.90138561,-78.8415332
42.95941509,-78.89770038
42.95485748,-78.89872312
0,0
42.93755903,-78.80018434
42.90216194,-78.8119391
42.93019207,-78.8042013
42.8838204,-78.85526545
42.89247193,-78.83977941
42.90908675,-78.88975504
42.89811287,-78.87869106
42.92171437,-78.80376033
42.93108165,-78.8382592
42.90612797,-78.80437665
42.92382039,-78.80724011
42.91208452,-78.81701522
42.89525852,-78.80627841
42.92966741,-78.80591706
42.89542151,-78.89002325
42.85400052,-78.81098133
42.90131977,-78.82126667
42.89455902,-78.83900437
42.94039069,-78.82212664
42.91399777,-78.82064349
42.9028936,-78.8664093
42.93442434,-78.82789171
42.92763516,-78.84897694
42.92149516,-78.89761952
42.89904926,-78.87826092
42.92880063,-78.84993846
42.91368827,-78.86059803
42.92001051,-78.83515749
42.93132634,-78.83926842
42.883162,-78.878035
42.87924081,-78.84226165
42.91069534,-78.8225734
42.88529659,-78.85758962
42.93653889,-78.89493256
42.88688259,-78.83609948
42.95093115,-78.86860152
42.94061801,-78.90397596
42.91466845,-78.81471047
42.88584,-78.87711
42.89144857,-78.83100573
42.92553493,-78.82755785
42.93363555,-78.81123395
42.9373359,-78.79907329
42.93409142,-78.8026095
42.92218712,-78.82769396
42.93637659,-78.8385798
42.90047482,-78.83152704
42.91599359,-78.84891117
42.90953335,-78.81670696
42.90114223,-78.85190788
42.87207622,-78.80444162
42.89216241,-78.88773075
42.89933649,-78.83760589
42.95144113,-78.82560584
42.89660103,-78.86894336
42.91707926,-78.8026985
42.89031546,-78.8347328
42.94244157,-78.81212542
42.87272375,-78.86544775
42.93988278,-78.80678084
42.93344532,-78.83647653
42.87588966,-78.84385186
42.91604186,-78.79993228
42.92207057,-78.88776594
42.89463454,-78.84202749
42.91934363,-78.80086827
42.88136767,-78.83596504
42.89794876,-78.81935036
42.91922685,-78.81293551
42.94552893,-78.80489106
42.94600588,-78.89369961
42.94147688,-78.81428797
42.91767773,-78.82914532
42.88766145,-78.86673787
42.91858814,-78.89708208
42.88023133,-78.85415726
42.91434141,-78.89478337
42.90695,-78.86362
42.95381122,-78.90002518
42.91693121,-78.82184938
42.94732048,-78.84041783
42.93018962,-78.88881411
42.90087491,-78.86045356
42.91583638,-78.88986315
42.90189598,-78.82126889
42.91771192,-78.80187943
42.91867769,-78.89443188
42.92208503,-78.82407204
42.83358374,-78.81014798
42.91906139,-78.85120169
42.9087381,-78.8039331
42.88781328,-78.83711078
42.87575099,-78.86754143
42.91862473,-78.80877277
42.89791836,-78.88224628
42.90157118,-78.85616455
42.92551003,-78.82636295
42.90459756,-78.8218359
42.914663,-78.816729
42.90336164,-78.81571325
42.95582663,-78.90541473
42.86535138,-78.86764292
42.92699373,-78.81206824
42.89213666,-78.87657278
42.89622062,-78.83206977
42.92205199,-78.82672271
42.91264018,-78.83945239
42.93382918,-78.81045047
42.90923859,-78.89449639
42.91177733,-78.81962709
42.92567083,-78.81497567
42.93531241,-78.8065115
42.91364937,-78.80272367
42.93091431,-78.79957364
42.92364295,-78.81369864
42.90800482,-78.83864934
42.91911837,-78.8256285
42.90216972,-78.86665891
42.90651763,-78.80150395
42.91825214,-78.83290503
42.90347904,-78.82526865
42.91688798,-78.80228717
42.89244541,-78.82679285
42.9227248,-78.80684484
42.91286913,-78.83519775
42.95454259,-78.90342822
42.94191717,-78.81365471
42.9110266,-78.8324274
42.95396811,-78.84914911
42.94567892,-78.82565794
42.90797769,-78.81585565
42.95524439,-78.8977165
42.93932019,-78.80879009
42.94724122,-78.90439885
42.91849902,-78.85694855
42.9134451,-78.81642305
42.89519753,-78.8813268
42.93254185,-78.90163389
42.9136885,-78.86058563
42.89800439,-78.83629758
42.94395862,-78.82169225
42.9097441,-78.82096312
42.85514458,-78.80672341
42.91768409,-78.82913214
42.92524719,-78.80724528
42.93927617,-78.81701097
42.91518931,-78.85199258
42.89714476,-78.87096116
42.91123991,-78.81406306
42.93759901,-78.81871749
42.86792398,-78.84751132
42.88731602,-78.86214663
42.91447952,-78.8264316
42.88154672,-78.87600027
42.90730341,-78.80665775
42.91507966,-78.85252836
42.91201733,-78.89425117
42.8867435,-78.87173374
42.8931182,-78.83291561
42.94007639,-78.90559404
42.93848756,-78.88672097
42.90989459,-78.81446864
42.92562,-78.80101
42.93346654,-78.83927728
42.93425892,-78.81508254
42.95524592,-78.89715618
42.89298831,-78.86523223
42.90397152,-78.82594241
42.89696043,-78.86786273
42.90605306,-78.86364943
42.91768409,-78.82913214
42.91364972,-78.79974376
42.88927774,-78.87728797
42.88423608,-78.82918588
42.87778906,-78.81550535
42.88194676,-78.83466151
42.93371,-78.8146
42.91268236,-78.88859531
42.89292938,-78.8437743
42.89725271,-78.8355569
42.91493169,-78.82016177
42.91333594,-78.85886687
42.92230561,-78.89221001
42.94010353,-78.82817561
42.89640452,-78.82303913
42.94951376,-78.82873583
42.91510686,-78.81501076
42.89528893,-78.83150624
42.94080328,-78.82164273
42.92150234,-78.7998394
42.92369815,-78.88771832
42.94558059,-78.81260475
42.91087868,-78.85374191
42.89706722,-78.89025533
42.89512515,-78.8774826
42.94842054,-78.86275842
42.92181113,-78.84433815
42.91767773,-78.82914532
42.90174909,-78.85250482
42.94801221,-78.82518153
42.92388308,-78.88717748
42.93894282,-78.83201759
42.84471564,-78.82346567
42.91155093,-78.83571499
42.90676516,-78.82834224
42.92598473,-78.88100592
