type,time,reclat,reclon,altitude (ft),eos,name,desc
T,10/16/2020 13:01,42.95355727,-78.81947841,691.9,1,,
T,10/12/2020 19:13,42.89956975,-78.87316846,631.8,1,,
T,10/13/2020 21:16,42.95029317,-78.8231803,685.3,1,,
T,10/15/2020 11:49,42.89939654,-78.87319235,665.6,1,,
T,10/16/2020 13:01,42.95356641,-78.81945231,691.9,1,,
T,10/12/2020 19:13,42.89952658,-78.87317073,629,1,,
T,10/13/2020 21:16,42.95031551,-78.82318994,685.3,1,,
T,10/15/2020 12:00,42.89940731,-78.8731657,663.4,1,,
T,10/16/2020 13:01,42.95355965,-78.81947949,691.9,1,,
T,10/12/2020 19:13,42.89950923,-78.87315262,630.4,1,,
T,10/13/2020 21:16,42.95033143,-78.82320159,685.5,1,,
T,10/15/2020 12:00,42.89942227,-78.87314407,661,1,,
T,10/16/2020 13:01,42.95357518,-78.81944507,691.9,1,,
T,10/12/2020 19:13,42.89949557,-78.87313066,635.5,1,,
T,10/13/2020 21:16,42.95033592,-78.82316555,682.4,1,,
T,10/15/2020 12:00,42.89944528,-78.87315329,658.7,1,,
T,10/16/2020 13:01,42.95355789,-78.81945985,691.9,1,,
T,10/12/2020 19:14,42.89948484,-78.87310535,633.8,1,,
T,10/13/2020 21:16,42.95034363,-78.82314267,682,1,,
T,10/15/2020 12:00,42.89946707,-78.87316536,658.4,1,,
T,10/16/2020 13:02,42.95353734,-78.81946277,691.9,1,,
T,10/12/2020 19:14,42.89950165,-78.87308205,634.9,1,,
T,10/13/2020 21:16,42.95033822,-78.82317569,681.3,1,,
T,10/15/2020 12:00,42.89948899,-78.87317886,657.6,1,,
T,10/16/2020 13:02,42.95355674,-78.8194398,691.9,1,,
T,10/12/2020 19:14,42.89950655,-78.87310795,632.4,1,,
T,10/13/2020 21:16,42.95030763,-78.82319497,680.7,1,,
T,10/15/2020 12:00,42.89948899,-78.87317886,657.8,1,,
T,10/16/2020 13:02,42.95355064,-78.81947362,691.9,1,,
T,10/12/2020 19:14,42.89951996,-78.87314868,636.8,1,,
T,10/13/2020 21:16,42.9503316,-78.82319287,681.7,1,,
T,10/15/2020 12:00,42.89945182,-78.87313385,657.5,1,,
T,10/16/2020 13:03,42.95356582,-78.81941985,691.9,1,,
T,10/12/2020 19:16,42.89949372,-78.87317525,632.2,1,,
T,10/13/2020 21:16,42.95034912,-78.82321106,680.7,1,,
T,10/15/2020 12:00,42.89940152,-78.87315095,662.9,1,,
T,10/16/2020 13:03,42.95355694,-78.8194728,691.9,1,,
T,10/12/2020 19:16,42.89947516,-78.87318196,641.6,1,,
T,10/13/2020 21:16,42.95035977,-78.82323445,680.7,1,,
T,10/15/2020 12:20,42.8993993,-78.87318053,665.5,1,,
T,10/16/2020 13:03,42.95358633,-78.8194544,691.9,1,,
T,10/12/2020 19:16,42.89946183,-78.87321021,644.5,1,,
T,10/13/2020 21:17,42.95037992,-78.82324744,681.1,1,,
T,10/15/2020 12:20,42.89942654,-78.87320065,656.9,1,,
T,10/16/2020 13:03,42.95354756,-78.81946681,691.9,1,,
T,10/12/2020 19:16,42.89946183,-78.87321021,644.8,1,,
T,10/13/2020 21:17,42.9503619,-78.82324677,680.1,1,,
T,10/15/2020 12:20,42.89944239,-78.8732201,654.6,1,,
T,10/16/2020 13:03,42.95356868,-78.81946905,691.9,1,,
T,10/12/2020 19:16,42.89944427,-78.87324222,645.9,1,,
T,10/13/2020 21:17,42.95032833,-78.82323839,679.7,1,,
T,10/15/2020 12:20,42.89945588,-78.87324063,654.3,1,,
T,10/16/2020 13:03,42.95353596,-78.81943436,691.9,1,,
T,10/12/2020 19:16,42.89941766,-78.87328506,647.3,1,,
T,10/13/2020 21:17,42.95033458,-78.8232062,677.5,1,,
T,10/15/2020 12:46,42.89942089,-78.87322496,655.9,1,,
T,10/16/2020 13:03,42.95355979,-78.81947319,691.9,1,,
T,10/12/2020 19:16,42.89940031,-78.8733211,647.5,1,,
T,10/13/2020 21:17,42.95033437,-78.82317687,678.1,1,,
T,10/15/2020 12:46,42.89942592,-78.87320065,659.2,1,,
T,10/16/2020 13:04,42.95353135,-78.81941483,691.9,1,,
T,10/12/2020 19:16,42.89938476,-78.8733558,646.8,1,,
T,10/13/2020 21:17,42.95031522,-78.82318298,679.5,1,,
T,10/15/2020 12:46,42.89945534,-78.87317844,657.4,1,,
T,10/16/2020 13:04,42.95356176,-78.81943664,691.9,1,,
T,10/12/2020 19:16,42.89937068,-78.87337231,646.7,1,,
T,10/13/2020 21:17,42.95028412,-78.82316421,682.3,1,,
T,10/15/2020 12:46,42.89947411,-78.87315614,656.5,1,,
T,10/16/2020 13:04,42.95357262,-78.81947506,691.9,1,,
T,10/12/2020 19:16,42.89935982,-78.87339964,646.3,1,,
T,10/13/2020 21:17,42.95027393,-78.82313906,683.4,1,,
T,10/15/2020 12:46,42.89949578,-78.87314919,656.1,1,,
T,10/16/2020 13:04,42.95355714,-78.81945602,691.9,1,,
T,10/12/2020 19:16,42.89935982,-78.87339964,646.2,1,,
T,10/13/2020 21:18,42.95029003,-78.82316823,679.3,1,,
T,10/15/2020 12:46,42.89951665,-78.87315924,655.3,1,,
T,10/16/2020 13:04,42.95356917,-78.81949037,691.9,1,,
T,10/12/2020 19:16,42.89937634,-78.87337642,646.5,1,,
T,10/13/2020 21:18,42.95031048,-78.82317821,679.1,1,,
T,10/15/2020 13:15,42.89948547,-78.87311507,663.7,1,,
T,10/16/2020 13:04,42.953573,-78.81943708,691.9,1,,
T,10/12/2020 19:16,42.8993944,-78.87331808,646.3,1,,
T,10/13/2020 21:18,42.95028793,-78.82321064,678.6,1,,
T,10/15/2020 13:17,42.89949884,-78.87308967,649.4,1,,
T,10/16/2020 13:05,42.95356965,-78.81947458,691.9,1,,
T,10/12/2020 19:16,42.89940789,-78.87330107,647.4,1,,
T,10/13/2020 21:18,42.95029648,-78.82323537,679.2,1,,
T,10/15/2020 13:17,42.89952817,-78.87309177,651.7,1,,
T,10/16/2020 13:05,42.95357847,-78.81945121,691.9,1,,
T,10/12/2020 19:16,42.89941183,-78.87327307,647.5,1,,
T,10/13/2020 21:18,42.95028852,-78.82325146,679.1,1,,
T,10/15/2020 13:17,42.89954502,-78.87309931,652.9,1,,
T,10/16/2020 13:05,42.95355538,-78.81946796,691.9,1,,
T,10/12/2020 19:17,42.89941208,-78.87325882,647.1,1,,
T,10/13/2020 21:21,42.95025616,-78.82327669,679.7,1,,
T,10/15/2020 13:17,42.89955122,-78.87312437,652.4,1,,
T,10/16/2020 13:06,42.95356477,-78.81944431,691.9,1,,
T,10/12/2020 19:39,42.89937676,-78.87324273,650.5,1,,
T,10/13/2020 21:21,42.95025139,-78.8232482,676.5,1,,
T,10/15/2020 13:17,42.89956204,-78.87316528,653,1,,
T,10/16/2020 13:06,42.95354783,-78.81946036,691.9,1,,
T,10/12/2020 19:39,42.89939452,-78.87323208,648.1,1,,
T,10/13/2020 21:21,42.9502415,-78.82320503,675.5,1,,
T,10/15/2020 13:17,42.89956732,-78.87316327,652.8,1,,
T,10/16/2020 13:06,42.95356401,-78.81944774,691.9,1,,
T,10/12/2020 19:39,42.89937688,-78.87321758,650.2,1,,
T,10/13/2020 21:21,42.95025843,-78.82319086,677.7,1,,
T,10/15/2020 13:17,42.8995788,-78.87314323,653.7,1,,
T,10/16/2020 13:07,42.95358426,-78.81942622,691.9,1,,
T,10/12/2020 22:09,42.8993944,-78.87326519,680.8,1,,
T,10/13/2020 21:21,42.95026522,-78.82316681,676.7,1,,
T,10/15/2020 13:17,42.89957415,-78.87311247,654,1,,
T,10/16/2020 13:07,42.95357621,-78.81944959,691.9,1,,
T,10/12/2020 22:09,42.89936188,-78.87325488,662.8,1,,
T,10/13/2020 21:21,42.95024066,-78.82318575,679.5,1,,
T,10/15/2020 13:17,42.89955349,-78.87312521,652,1,,
T,10/16/2020 13:07,42.95354417,-78.81944546,691.9,1,,
T,10/12/2020 22:09,42.89934733,-78.87323946,663.8,1,,
T,10/13/2020 21:22,42.95024062,-78.82321567,678.8,1,,
T,10/15/2020 13:17,42.89955349,-78.87312521,651.5,1,,
T,10/16/2020 13:07,42.95358318,-78.81946041,691.9,1,,
T,10/12/2020 22:09,42.89936418,-78.87320777,660.6,1,,
T,10/13/2020 21:22,42.95022054,-78.8232026,678.9,1,,
T,10/15/2020 13:17,42.89953287,-78.87312245,651,1,,
T,10/16/2020 13:07,42.95358076,-78.81943601,691.9,1,,
T,10/12/2020 22:09,42.89936963,-78.8731797,663.4,1,,
T,10/13/2020 21:22,42.95024259,-78.82318852,679.5,1,,
T,10/15/2020 13:17,42.89950978,-78.87312446,650,1,,
T,10/16/2020 13:09,42.95356083,-78.8194076,691.9,1,,
T,10/12/2020 22:09,42.89937143,-78.87321062,662.7,1,,
